ClientName	Service	DueDate	Status	AssignedStaff	Entity	State	County	Email	Phone	Notes
Marin Harbor Analytics LLC (TEST)	Form 1065	09/15/2026	In Progress	JDOE	LLC	CA	Los Angeles	test+realistic001@example.com	555-0101	In Progress
Hudson Ledger Partners LP (TEST)	Form 1065	09/15/2026	Waiting on client	RCHEN	Partnership	NY	New York	test+realistic002@example.com	555-0102	Waiting on client
Austin Foundry Inc (TEST)	Form 1120	10/15/2026	Ready for review	MLEE	C-Corp	TX	Travis	test+realistic003@example.com	555-0103	Ready for review
Bayview Stone Household (TEST)	Form 1040	10/15/2026	Organizer sent	TKIM	Individual	FL	Miami-Dade	test+realistic004@example.com	555-0104	Organizer sent
Cascade Orchard LLC (TEST)	Form 1065	09/15/2026	Open items	PVU	LLC	WA	King	test+realistic005@example.com	555-0105	Open items
Prairie Oak Trust (TEST)	Form 1041	10/15/2026	Extension filed	SRIVERA	Trust	IL	Cook	test+realistic006@example.com	555-0106	Extension filed
Golden Gate Studio (TEST)	Schedule C	10/15/2026	Needs bookkeeping	ANGUYEN	Sole Proprietor	CA	San Francisco	test+realistic007@example.com	555-0107	Needs bookkeeping
Brooklyn Outreach Foundation (TEST)	Form 990	11/16/2026	Board review	CBROOKS	Nonprofit	NY	Kings	test+realistic008@example.com	555-0108	Board review
Hill Country Advisors LLC (TEST)	Form 1065	09/15/2026	In progress	JPATEL	LLC	TX	Bexar	test+realistic009@example.com	555-0109	In progress
Palm River Dental PC (TEST)	Form 1120-S	09/15/2026	Ready for e-file	ASTONE	S-Corp	FL	Hillsborough	test+realistic010@example.com	555-0110	Ready for e-file
Puget Sound Robotics Inc (TEST)	Form 1120	10/15/2026	R&D credit review	DMORRIS	C-Corp	WA	King	test+realistic011@example.com	555-0111	R&D credit review
Lincoln Park Household (TEST)	Form 1040	10/15/2026	Missing K-1	QREED	Individual	IL	Cook	test+realistic012@example.com	555-0112	Missing K-1
Silicon Coast Ventures LP (TEST)	Form 1065	09/15/2026	Partner capital review	HFLORES	Partnership	CA	Santa Clara	test+realistic013@example.com	555-0113	Partner capital review
Rochester Maple Trust (TEST)	Form 1041	10/15/2026	Beneficiary update	RFOSTER	Trust	NY	Monroe	test+realistic014@example.com	555-0114	Beneficiary update
Dallas Market Studio (TEST)	Schedule C	10/15/2026	Mileage log pending	EGRAY	Sole Proprietor	TX	Dallas	test+realistic015@example.com	555-0115	Mileage log pending
Orlando Harbor LLC (TEST)	Form 1065	09/15/2026	Multi-member LLC	HMILES	LLC	FL	Orange	test+realistic016@example.com	555-0116	Multi-member LLC
Spokane Design Group Inc (TEST)	Form 1120-S	09/15/2026	Payroll tie-out	FCOOPER	S-Corp	WA	Spokane	test+realistic017@example.com	555-0117	Payroll tie-out
River North Supply Inc (TEST)	Form 1120	10/15/2026	Inventory review	RBENNETT	C-Corp	IL	DuPage	test+realistic018@example.com	555-0118	Inventory review
North Star Clinic LLC (TEST)	Form 1065	09/15/2026	Review: missing filing state	SCARTER	LLC			test+realistic019@example.com	555-0119	Review: missing filing state
Pacific Crest Therapy Inc (TEST)	Form 1120-S	09/15/2026	Review: state exported as C.A.	DPRICE	S-Corp	C.A.	Orange	test+realistic020@example.com	555-0120	Review: state exported as C.A.
Queensboro Catering LP (TEST)	Form 1065	09/15/2026	Owner basis review	SWARD	Partnership	NY	Queens	test+realistic021@example.com	555-0121	Owner basis review
Fort Worth Household (TEST)	Form 1040	10/15/2026	Schedule E rental	BYOUNG	Individual	TX	Tarrant	test+realistic022@example.com	555-0122	Schedule E rental
Sarasota Family Trust (TEST)	Form 1041	10/15/2026	Estimated tax review	KBELL	Trust	FL	Sarasota	test+realistic023@example.com	555-0123	Estimated tax review
Tacoma Arts Alliance (TEST)	Form 990	11/16/2026	Grant schedule review	LDIAZ	Nonprofit	WA	Pierce	test+realistic024@example.com	555-0124	Grant schedule review
